model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-06-10,"DGW,GEE",2,0.052560646900269514,0.02318893617239683,0.4095047414302826,0.004,0.04856064690026951,3.0365520692328296,1.4193997254892023,0.1858752131095518,2026-06-08 20:08:44
model3,2025-06-11,"CTI,CTR,DGW",3,0.02261393230938491,0.013392126620232104,0.3723098337650299,0.004,0.01861393230938491,3.127834384489769,1.464434268208803,0.20175660411930973,2026-06-08 20:08:44
model3,2025-06-12,"CTI,NVL,DGW",3,0.044745144329046006,0.013377319036651784,0.3638383448123932,0.004,0.04074514432904601,3.3125349297901625,1.5648479981564178,0.21783288561701686,2026-06-08 20:08:44
model3,2025-06-13,"OIL,CTI",2,0.03675955330917979,0.020402292144692174,0.36039018630981445,0.004,0.03275955330917979,3.471061787439484,1.648871272881966,0.24267946793278883,2026-06-08 20:08:44
model3,2025-06-16,"DCL,CTI",2,-0.02475485305962588,0.004669940449527713,0.3718283176422119,0.004,-0.02875485305962588,3.3603813098709114,1.5727033686563812,0.2484827070458857,2026-06-08 20:08:44
model3,2025-06-17,"CTI,NVL",2,-0.0015578202576935762,-9.068582579134592e-06,0.36931341886520386,0.004,-0.005557820257693576,3.3535886195351257,1.5584047457570263,0.24847138507735833,2026-06-08 20:08:44
model3,2025-06-18,"OIL,VOS",2,-0.036561246220276955,0.0022619117844643304,0.3816342353820801,0.004,-0.04056124622027696,3.1944159940745065,1.4546326609332505,0.2512953172158312,2026-06-08 20:08:44
model3,2025-06-19,"DGW,OIL,VDS",3,-0.007719382062967924,0.006958406655859911,0.39393940567970276,0.004,-0.011719382062967923,3.162037694485222,1.425865882955534,0.26000233887959223,2026-06-08 20:08:44
model3,2025-06-20,"ANV,OIL,CTI",3,0.03569121397612093,0.006995777575550142,0.39134085178375244,0.004,0.03169121397612093,3.310585872415775,1.5027445177296492,0.26881703498706666,2026-06-08 20:08:44
model3,2025-06-23,ANV,1,0.19777647747220595,0.012951057639539252,0.3522498309612274,0.004,0.19377647747220594,4.1631183621036225,1.9877175343881754,0.2852495575412135,2026-06-08 20:08:44
model3,2025-06-24,DGW,1,0.018604651162790642,0.005710408227443857,0.35174882411956787,0.004,0.014604651162790642,4.259176378142759,2.0313521067508677,0.2925888571889155,2026-06-08 20:08:44
model3,2025-06-25,"DGW,CTI",2,0.009111617312072995,0.01526224645430557,0.36012744903564453,0.004,0.005111617312072995,4.307095980677089,2.0468472186587245,0.3123166668914219,2026-06-08 20:08:44
model3,2025-06-26,"CTI,DGW",2,-0.02649733806566107,0.011188357860505604,0.3660823106765747,0.004,-0.03049733806566107,4.166472064330177,1.9539264889968706,0.3269993353869092,2026-06-08 20:08:44
model3,2025-06-27,CTI,1,0.030674846625766916,0.014983787441627197,0.3666565418243408,0.004,0.026674846625766916,4.324952802499815,2.0327220250346523,0.34688281136352717,2026-06-08 20:08:44
